节点ID,节点名称,节点类型,是否核心类型,所有标签,所属社区,度数,加权度数,入度,出度,加权入度,加权出度,聚类系数,邻居节点数,邻居社区分布
LE871273,所披露的信息有误导性陈述,Action,否,Action,3,2,1.15,2,0,1.15,0.0,0.5223,2,社区3:2
LE549520,第三条,Section,否,Section,4,2,1.15,1,1,0.2,0.95,0.0,2,社区4:2
LE433512,专家,PartyWithResponsibility,是,PartyWithResponsibility,4,2,1.75,1,1,0.95,0.8,0.0,2,社区4:2
LE932356,第十三条,Section,否,Section,4,3,2.1,1,2,0.2,1.9,0.0,3,社区4:3
LE389018,加强沟通,Action,否,Action,4,1,0.15,1,0,0.15,0.0,0.0,1,社区4:1
LE527233,重大活动解读,Action,否,Action,4,1,0.15,1,0,0.15,0.0,0.0,1,社区4:1
LE135406,投资者教育,Action,否,Action,4,1,0.15,1,0,0.15,0.0,0.0,1,社区4:1
LE775363,公开征求意见,Action,否,Action,4,8,1.2,8,0,1.2,0.0,0.0,8,社区4:8
LE758901,第三章,Chapter,否,Chapter,7,10,2.0,1,9,0.2,1.8,0.0,10,社区4:1; 社区7:9
LE637171,做好本辖区新闻发布,Action,否,Action,4,1,0.15,1,0,0.15,0.0,0.0,1,社区4:1
LE490418,第二十四条,Section,否,Section,4,1,0.2,1,0,0.2,0.0,0.0,1,社区4:1
LE475324,登记结算机构,PartyWithResponsibility,是,PartyWithResponsibility,7,3,2.85,3,0,2.85,0.0,0.0,3,社区7:3
LE296563,证监会各派出机构,PartyWithResponsibility,是,PartyWithResponsibility,4,2,1.75,1,1,0.95,0.8,0.0,2,社区4:2
LE615267,第二十九条,Section,否,Section,4,2,1.15,1,1,0.2,0.95,0.0,2,社区4:2
LE524997,第二十五条,Section,否,Section,4,4,3.05,1,3,0.2,2.85,0.0,4,社区4:4
LE815804,重大监管措施,Event,否,Event,4,8,1.85,1,7,0.8,1.05,0.0,8,社区4:8
LE109316,未经批准或授权,Violation,否,Violation,4,1,0.8,1,0,0.8,0.0,0.0,1,社区4:1
LE530413,第十条,Section,否,Section,4,2,1.15,1,1,0.2,0.95,0.0,2,社区4:2
LE526928,第一条,Section,否,Section,4,1,0.2,1,0,0.2,0.0,0.0,1,社区4:1
LE853642,向社会通报,Action,否,Action,4,8,1.2,8,0,1.2,0.0,0.0,8,社区4:8
LE560172,按照有关保密规定处理,Punishment,否,Punishment,11,2,0.3,2,0,0.3,0.0,0.0,2,社区11:2
LE217573,第十五条,Section,否,Section,7,2,1.15,1,1,0.2,0.95,0.0,2,社区7:2
LE752886,及时主动发布业务规则,Action,否,Action,7,1,0.15,1,0,0.15,0.0,0.0,1,社区7:1
LE417908,第十八条,Section,否,Section,7,2,1.15,1,1,0.2,0.95,0.0,2,社区7:2
LE118380,第二十七条,Section,否,Section,13,4,3.05,1,3,0.2,2.85,0.0,4,社区4:1; 社区13:3
LE546351,及时公开答复,Action,否,Action,7,1,0.15,1,0,0.15,0.0,0.0,1,社区7:1
LE533435,第三十一条,Section,否,Section,11,3,2.1,1,2,0.2,1.9,0.0,3,社区4:1; 社区11:2
