节点ID,节点名称,节点类型,是否核心类型,所有标签,所属社区,度数,加权度数,入度,出度,加权入度,加权出度,聚类系数,邻居节点数,邻居社区分布
LE342738,第二章,Chapter,否,Chapter,0,4,0.8,1,3,0.2,0.6,0.0,4,社区0:4
LE211520,董事会,PartyWithResponsibility,是,PartyWithResponsibility,0,40,39.6,9,31,8.6,31.0,0.0208,40,社区0:40
LE224319,第一章,Chapter,否,Chapter,0,7,1.4,1,6,0.2,1.2,0.0,7,社区0:4; 社区3:2; 社区10:1
LE181498,第四章,Chapter,否,Chapter,0,8,1.6,1,7,0.2,1.4,0.0,8,社区0:8
LE577355,提高募集资金使用效益,Responsibility,否,Responsibility,10,2,2.0,2,0,2.0,0.0,0.0,2,社区0:1; 社区10:1
LE360846,应当按照招股说明书或者募集说明书所列用途使用,Responsibility,否,Responsibility,0,5,5.0,5,0,5.0,0.0,0.0,5,社区0:5
LE433592,使用闲置募集资金投资产品,Action,否,Action,0,6,5.15,6,0,5.15,0.0,0.1741,6,社区0:6
LE018915,第十六条,Section,否,Section,0,4,1.45,1,3,0.2,1.25,0.1741,4,社区0:4
LE617364,相关规则,Law,否,Law,0,1,0.3,1,0,0.3,0.0,0.0,1,社区0:1
LE783261,第七条,Section,否,Section,0,3,1.3,1,2,0.2,1.1,0.1741,3,社区0:3
LE183658,第五章,Chapter,否,Chapter,0,5,1.0,1,4,0.2,0.8,0.0,5,社区0:5
LE012322,第十七条,Section,否,Section,0,13,6.8,1,12,0.2,6.6,0.2411,13,社区0:13
LE624835,上海证券交易所上市公司募集资金管理办法,Title,否,Title,0,6,1.2,0,6,0.0,1.2,0.0,6,社区0:6
LE941076,报告本所,Action,否,Action,0,14,7.2,13,1,7.05,0.15,0.1435,14,社区0:14
LE970110,董事会审议通过,Action,否,Action,0,6,5.15,6,0,5.15,0.0,0.1741,6,社区0:6
LE850370,以募集资金置换自筹资金,Action,否,Action,0,3,2.15,3,0,2.15,0.0,0.3482,3,社区0:3
LE216832,监事,PartyWithResponsibility,是,PartyWithResponsibility,3,25,24.65,9,16,8.65,16.0,0.0314,25,社区3:24; 社区5:1
LE261806,第十五条,Section,否,Section,0,8,4.45,1,7,0.2,4.25,0.2239,8,社区0:8
LE834952,报告,Action,否,Action,0,10,7.45,10,0,7.45,0.0,0.1161,10,社区0:10
LE496156,独立董事、保荐机构、监事会发表明确同意意见,Responsibility,否,Responsibility,0,2,2.0,2,0,2.0,0.0,0.0,2,社区0:2
LE655633,进行现金管理,Action,否,Action,0,4,1.45,2,2,1.15,0.3,0.0871,4,社区0:4
LE584323,公告,Action,否,Action,0,17,9.35,14,3,8.9,0.45,0.073,17,社区0:17
LE088340,持续督导,Action,否,Action,0,2,1.15,2,0,1.15,0.0,0.5223,2,社区0:2
LE994042,第四条,Section,否,Section,3,7,3.5,1,6,0.2,3.3,0.2239,7,社区0:1; 社区3:6
LE203453,注销产品专用结算账户,Action,否,Action,0,4,1.45,2,2,1.15,0.3,0.0871,4,社区0:4
LE173324,不得变相改变募集资金用途,Restriction,否,Restriction,0,3,0.45,3,0,0.45,0.0,0.0,3,社区0:3
LE279862,第二十九条,Section,否,Section,0,4,2.25,1,3,0.2,2.05,0.1741,4,社区0:4
LE784812,解释具体原因,Action,否,Action,0,5,4.15,5,0,4.15,0.0,0.2089,5,社区0:5
LE662610,决定是否继续实施,Action,否,Action,0,2,1.15,2,0,1.15,0.0,0.5223,2,社区0:2
LE051127,股东大会,PartyWithResponsibility,是,PartyWithResponsibility,0,9,8.95,2,7,1.95,7.0,0.0871,9,社区0:9
LE721433,应当经董事会审议通过,Responsibility,否,Responsibility,0,4,4.0,4,0,4.0,0.0,0.0,4,社区0:4
LE794738,第三章,Chapter,否,Chapter,0,10,2.0,1,9,0.2,1.8,0.0,10,社区0:10
LE907041,披露,Action,否,Action,0,7,5.3,7,0,5.3,0.0,0.1492,7,社区0:7
LE888172,不得影响募集资金投资计划正常进行,Restriction,否,Restriction,0,4,0.6,4,0,0.6,0.0,0.0,4,社区0:4
LE747047,第三十一条,Section,否,Section,3,12,8.4,1,11,0.2,8.2,0.1295,12,社区0:4; 社区3:6; 社区5:1; 社区10:1
LE594633,应当将募集资金集中存放于募集资金专户,Responsibility,否,Responsibility,0,4,4.0,4,0,4.0,0.0,0.0,4,社区0:4
LE609526,董事会审计委员会,PartyWithResponsibility,是,PartyWithResponsibility,0,4,3.95,2,2,1.95,2.0,0.0871,4,社区0:4
LE188216,第三条,Section,否,Section,0,6,2.55,1,5,0.2,2.35,0.2089,6,社区0:6
LE312170,自觉维护上市公司募集资金安全,Responsibility,否,Responsibility,3,3,3.0,3,0,3.0,0.0,0.0,3,社区3:3
LE074530,《上海证券交易所股票上市规则》,Law,否,Law,10,3,0.75,3,0,0.75,0.0,0.063,3,社区3:1; 社区5:1; 社区10:1
LE106996,报本所备案,Action,否,Action,0,6,2.6,4,2,2.3,0.3,0.1045,6,社区0:6
LE067712,公告改变原因,Action,否,Action,0,6,5.15,6,0,5.15,0.0,0.1741,6,社区0:6
LE977841,出具专项核查报告,Action,否,Action,0,3,2.15,3,0,2.15,0.0,0.3482,3,社区0:3
LE631844,履行保荐职责,Action,否,Action,0,2,1.15,2,0,1.15,0.0,0.5223,2,社区0:2
LE261137,第十一条,Section,否,Section,0,3,1.3,1,2,0.2,1.1,0.1741,3,社区0:3
LE289501,督促上市公司规范使用募集资金,Responsibility,否,Responsibility,3,3,3.0,3,0,3.0,0.0,0.0,3,社区3:3
LE223063,第二十条,Section,否,Section,0,6,2.55,1,5,0.2,2.35,0.2089,6,社区0:6
LE108727,上市公司控制的其他企业,PartyWithResponsibility,是,PartyWithResponsibility,12,2,1.95,1,1,0.95,1.0,0.0,2,社区12:2
LE653545,保荐机构发表明确同意意见,Responsibility,否,Responsibility,0,4,4.0,4,0,4.0,0.0,0.0,4,社区0:4
LE636150,第一条,Section,否,Section,10,9,3.25,1,8,0.2,3.05,0.0,9,社区0:1; 社区10:8
LE818240,会计师事务所,PartyWithResponsibility,是,PartyWithResponsibility,0,7,6.9,4,3,3.9,3.0,0.0746,7,社区0:4; 社区3:2; 社区5:1
LE586572,聘请会计师事务所,Action,否,Action,0,5,4.15,5,0,4.15,0.0,0.2089,5,社区0:5
LE360924,提交董事会审议,Action,否,Action,0,6,4.3,6,0,4.3,0.0,0.2786,6,社区0:6
LE808059,募集资金,Action,否,Action,0,2,1.15,2,0,1.15,0.0,0.5223,2,社区0:2
LE437820,《上市公司日常信息披露工作备忘录第七号——上市公司超募资金的使用与管理》,Law,否,Law,0,1,0.3,1,0,0.3,0.0,0.0,1,社区0:1
LE039907,用于其他募投项目,Action,否,Action,0,5,4.15,5,0,4.15,0.0,0.2089,5,社区0:5
LE515261,第十四条,Section,否,Section,0,8,5.25,1,7,0.2,5.05,0.1865,8,社区0:8
LE741634,发表明确同意意见,Responsibility,否,Responsibility,0,6,6.0,6,0,6.0,0.0,0.0,6,社区0:6
LE681143,投资于主营业务,Action,否,Action,0,3,1.3,3,0,1.3,0.0,0.3482,3,社区0:3
LE194339,集中管理,Action,否,Action,0,3,1.3,2,1,1.15,0.15,0.1741,3,社区0:3
LE337476,《公司法》,Law,否,Law,10,1,0.3,1,0,0.3,0.0,0.0,1,社区10:1
LE527929,第三十三条,Section,否,Section,0,3,1.45,1,2,0.2,1.25,0.0,3,社区0:3
LE437955,归还银行贷款,Action,否,Action,0,8,6.3,8,0,6.3,0.0,0.1306,8,社区0:8
LE933280,第三十二条,Section,否,Section,0,1,0.2,1,0,0.2,0.0,0.0,1,社区0:1
LE862559,《上市公司证券发行管理办法》,Law,否,Law,10,1,0.3,1,0,0.3,0.0,0.0,1,社区10:1
LE103135,第二十一条,Section,否,Section,0,11,5.7,1,10,0.2,5.5,0.2374,11,社区0:11
LE280397,公开发行证券,Action,否,Action,0,2,1.15,2,0,1.15,0.0,0.5223,2,社区0:2
LE771865,必须经董事会、股东大会审议通过,Responsibility,否,Responsibility,0,5,5.0,5,0,5.0,0.0,0.0,5,社区0:5
LE953750,将超募资金用于在建项目及新项目,Action,否,Action,0,2,1.15,2,0,1.15,0.0,0.5223,2,社区0:2
LE073848,置换募投项目,Action,否,Action,0,5,4.15,5,0,4.15,0.0,0.2089,5,社区0:5
LE826607,应当予以积极配合,Responsibility,否,Responsibility,0,6,6.0,6,0,6.0,0.0,0.0,6,社区0:6
LE330515,实际控制人,PartyWithResponsibility,是,PartyWithResponsibility,3,18,17.7,7,11,6.7,11.0,0.041,18,社区3:17; 社区5:1
LE207345,负责解释,Responsibility,否,Responsibility,0,1,1.0,1,0,1.0,0.0,0.0,1,社区0:1
LE522310,高级管理人员,PartyWithResponsibility,是,PartyWithResponsibility,3,23,22.7,7,16,6.7,16.0,0.0268,23,社区3:22; 社区5:1
LE503057,应当存放于经董事会批准设立的专项账户,Responsibility,否,Responsibility,0,1,1.0,1,0,1.0,0.0,0.0,1,社区0:1
LE115461,保荐机构,PartyWithResponsibility,是,PartyWithResponsibility,0,50,49.45,13,37,12.45,37.0,0.0153,50,社区0:47; 社区3:2; 社区5:1
LE672073,为股东提供网络投票表决方式,Responsibility,否,Responsibility,0,6,6.0,6,0,6.0,0.0,0.0,6,社区0:6
LE906433,暂时用于补充流动资金,Action,否,Action,0,6,4.3,5,1,4.15,0.15,0.1393,6,社区0:6
LE503969,补充流动资金,Action,否,Action,0,8,6.3,8,0,6.3,0.0,0.1306,8,社区0:8
LE410813,适用本办法,Responsibility,否,Responsibility,12,3,3.0,3,0,3.0,0.0,0.0,3,社区0:1; 社区12:2
LE880614,纵容,Action,否,Action,3,4,3.15,4,0,3.15,0.0,0.2612,4,社区3:4
LE025252,本办法,Law,否,Law,0,3,0.9,3,0,0.9,0.0,0.0,3,社区0:3
LE471605,变更募投项目,Action,否,Action,0,8,5.45,8,0,5.45,0.0,0.1865,8,社区0:8
LE601276,募集资金专户不得存放非募集资金,Restriction,否,Restriction,0,1,0.15,1,0,0.15,0.0,0.0,1,社区0:1
LE060328,废止,Action,否,Action,0,2,1.15,2,0,1.15,0.0,0.5223,2,社区0:2
LE680862,出具鉴证报告,Action,否,Action,0,5,4.15,5,0,4.15,0.0,0.2089,5,社区0:5
LE390385,第六条,Section,否,Section,0,6,2.05,1,5,0.2,1.85,0.0696,6,社区0:6
LE154902,应当及时报告本所并公告,Responsibility,否,Responsibility,0,1,1.0,1,0,1.0,0.0,0.0,1,社区0:1
LE533133,独立董事、监事会、保荐机构发表明确同意意见,Responsibility,否,Responsibility,0,5,5.0,5,0,5.0,0.0,0.0,5,社区0:5
LE629586,第十条,Section,否,Section,0,5,1.6,1,4,0.2,1.4,0.1567,5,社区0:5
LE888052,应当持续关注募集资金实际管理与使用情况,Responsibility,否,Responsibility,0,6,6.0,6,0,6.0,0.0,0.0,6,社区0:6
LE186039,使用情况应在年度报告中披露,Responsibility,否,Responsibility,0,4,4.0,4,0,4.0,0.0,0.0,4,社区0:4
LE662219,《首次公开发行股票并上市管理办法》,Law,否,Law,10,1,0.3,1,0,0.3,0.0,0.0,1,社区10:1
LE935215,履行募集资金专户存储三方监管协议,Action,否,Action,0,4,3.15,4,0,3.15,0.0,0.2612,4,社区0:4
LE883751,产品发行主体能够提供保本承诺,Responsibility,否,Responsibility,0,1,1.0,1,0,1.0,0.0,0.0,1,社区0:1
LE991993,《证券发行上市保荐业务管理办法》,Law,否,Law,0,1,0.3,1,0,0.3,0.0,0.0,1,社区0:1
LE591387,非公开发行证券,Action,否,Action,0,2,1.15,2,0,1.15,0.0,0.5223,2,社区0:2
LE784449,保护投资者的合法权益,Responsibility,否,Responsibility,10,1,1.0,1,0,1.0,0.0,0.0,1,社区10:1
LE892711,第三十四条,Section,否,Section,0,5,1.75,1,4,0.2,1.55,0.1045,5,社区0:5
LE762522,第二十五条,Section,否,Section,0,9,4.6,1,8,0.2,4.4,0.2321,9,社区0:9
LE636456,应当勤勉尽责,Responsibility,否,Responsibility,3,3,3.0,3,0,3.0,0.0,0.0,3,社区3:3
LE738411,应在董事会会议后2个交易日内报告本所并公告,Responsibility,否,Responsibility,0,4,4.0,4,0,4.0,0.0,0.0,4,社区0:4
LE070247,应当参照变更募投项目履行相应程序及披露义务,Responsibility,否,Responsibility,0,4,4.0,4,0,4.0,0.0,0.0,4,社区0:4
LE970998,协助,Action,否,Action,3,4,3.15,4,0,3.15,0.0,0.2612,4,社区3:4
LE434240,有效防范投资风险,Responsibility,否,Responsibility,0,1,1.0,1,0,1.0,0.0,0.0,1,社区0:1
LE733675,会计师事务所出具鉴证报告,Responsibility,否,Responsibility,0,2,2.0,2,0,2.0,0.0,0.0,2,社区0:2
LE587548,本所上市公司,PartyWithResponsibility,是,PartyWithResponsibility,10,3,2.95,1,2,0.95,2.0,0.0,3,社区10:3
LE095375,应充分关注转让价款收取和使用情况,Responsibility,否,Responsibility,0,4,4.0,4,0,4.0,0.0,0.0,4,社区0:4
LE560233,第十三条,Section,否,Section,0,6,1.75,1,5,0.2,1.55,0.1393,6,社区0:6
LE844605,第十八条,Section,否,Section,0,5,1.75,1,4,0.2,1.55,0.1045,5,社区0:5
LE184717,在本所网站披露,Action,否,Action,0,5,4.15,5,0,4.15,0.0,0.2089,5,社区0:5
LE961441,施行,Action,否,Action,0,2,1.15,2,0,1.15,0.0,0.5223,2,社区0:2
LE572426,用于非募投项目,Action,否,Action,0,5,4.15,5,0,4.15,0.0,0.2089,5,社区0:5
LE977114,第二十七条,Section,否,Section,0,12,5.05,1,11,0.2,4.85,0.2216,12,社区0:12
LE353759,使用情况应在最近一期定期报告中披露,Responsibility,否,Responsibility,0,2,2.0,2,0,2.0,0.0,0.0,2,社区0:2
LE337956,《上市公司监管指引第2号——上市公司募集资金管理和使用的监管要求》,Law,否,Law,10,1,0.3,1,0,0.3,0.0,0.0,1,社区10:1
LE181743,应当真实、准确、完整地披露,Responsibility,否,Responsibility,0,1,1.0,1,0,1.0,0.0,0.0,1,社区0:1
LE746112,商业银行,PartyWithResponsibility,是,PartyWithResponsibility,0,11,10.9,3,8,2.9,8.0,0.0665,11,社区0:11
LE624850,第六章,Chapter,否,Chapter,0,6,1.2,1,5,0.2,1.0,0.0,6,社区0:4; 社区3:1; 社区12:1
LE825440,本所,PartyWithResponsibility,是,PartyWithResponsibility,0,12,11.85,3,9,2.85,9.0,0.0475,12,社区0:12
LE625658,独立董事,PartyWithResponsibility,是,PartyWithResponsibility,0,40,39.6,9,31,8.6,31.0,0.0188,40,社区0:40
LE016086,第十九条,Section,否,Section,0,8,4.45,1,7,0.2,4.25,0.2239,8,社区0:8
LE829041,使用募集资金,Action,否,Action,0,3,1.3,3,0,1.3,0.0,0.3482,3,社区0:3
LE666571,《关于前次募集资金使用情况报告的规定》,Law,否,Law,10,1,0.3,1,0,0.3,0.0,0.0,1,社区10:1
LE459023,监事会,PartyWithResponsibility,是,PartyWithResponsibility,0,45,44.55,10,35,9.55,35.0,0.0185,45,社区0:45
LE304521,应当经董事会和股东大会审议通过,Responsibility,否,Responsibility,0,2,2.0,2,0,2.0,0.0,0.0,2,社区0:2
LE625566,应当及时通知保荐机构,Responsibility,否,Responsibility,0,4,4.0,4,0,4.0,0.0,0.0,4,社区0:4
LE176946,董事,PartyWithResponsibility,是,PartyWithResponsibility,3,25,24.65,9,16,8.65,16.0,0.0314,25,社区3:24; 社区5:1
LE992635,第三十条,Section,否,Section,12,4,3.05,1,3,0.2,2.85,0.0,4,社区0:2; 社区12:2
